id,recipe_id,recipe_name,source_row_ref,section_name,ingredient_block,instruction_block
195823,293583,Minestrone,1,,"• ½ lb white navy beans

• 1½ Tbsp salt

• 2 quart water","Dissolve 1 1/2 tablespoons salt in 2 quarts cold water in large bowl or container. Add beans and soak at room temperature for at least 8 hours and up to 24 hours. Drain and rinse well.

If you are pressed for time you can “quick-brine” your beans. Combine the salt, water, and beans in a large Dutch oven and bring to a boil over high heat. Remove the pot from the heat, cover, and let stand 1 hour. Drain and rinse the beans and proceed with the recipe."
421404,293583,Minestrone,2,,"•1 tablespoon extra virgin olive oil, plus extra for serving

•3 ounces pancetta or bacon cut into 1/4-inch pieces

•2 medium celery ribs, cut into 1/2-inch pieces (about 3/4 cup)

•1 medium carrot, peeled and cut into 1/2-inch pieces (about 3/4 cup)

•2 small onions, peeled and cut into 1/2-inch pieces (about 1 1/2 cups)

•1 medium zucchini, trimmed and cut into 1/2-inch pieces (about 1 cup)

•2 medium garlic cloves, minced or pressed through garlic press (about 2 teaspoons)

•1/2 small head green cabbage, halved, cored, and cut into 1/2-inch pieces (about 2 cups)

•1/8 – 1/4 teaspoon red pepper flakes","Heat oil and pancetta or bacon in large Dutch oven over medium-high heat. Cook, stirring occasionally, until pancetta is lightly browned and fat has rendered, 3 to 5 minutes. Add celery, carrot, onions, and zucchini; cook, stirring frequently, until vegetables are softened and lightly browned, 5 to 9 minutes. Stir in garlic, cabbage, 1/2 teaspoon salt, and red pepper flakes; continue to cook until cabbage starts to wilt, 1 to 2 minutes longer. Transfer vegetables to rimmed baking sheet and set aside."
433636,293583,Minestrone,3,,"•8 cups water

•2 cups low-sodium chicken broth

•1 piece Parmesan cheese rind, about 5 by 2 inches

•1 bay leaf

•1 1/2 cups V8 juice

Cornmeal or crushed tortilla chips","Add soaked beans, water, broth, Parmesan rind, and bay leaf to now-empty Dutch oven and bring to boil over high heat. Reduce heat and vigorously simmer, stirring occasionally, until beans are fully tender and liquid begins to thicken, 45 to 60 minutes. "
443629,293583,Minestrone,4,,"•1/2 cup chopped fresh basil leaves

•Ground black pepper

•Grated Parmesan cheese, for serving","Add reserved vegetables and V8 juice to pot; cook until vegetables are soft, about 15 minutes. Discard bay leaf and Parmesan rind, stir in chopped basil, and season with salt and pepper. Serve with olive oil and grated Parmesan."
343256,253233,Egg Roll in a Bowl (ERIAB),1,,"1 lb ground beef or pork

1 teaspoon minced garlic

14 ounces shredded cabbage or coleslaw mix

1/4 cup low-sodium soy sauce, or liquid aminos

1 teaspoon ground ginger

2 teaspoons sriracha

1 whole egg

1 tablespoon sesame oil

2 tablespoons sliced green onions","In a large skillet, brown the pork or beef until no longer pink. Add the garlic and sautee for 30 seconds. Add the cabbage/coleslaw, soy sauce, ginger, and sautee until desired tenderness. You can add a little water if you need more liquid to sautee the coleslaw down.

Make a well in the center of the skillet and add the egg. Scramble until done over low heat.

Stir in sriracha. Drizzle with sesame oil and sprinkle with green onions. Add additional soy sauce and sriracha if desired."
137873,270136,Polish Sausage & Cabbage Soup,1,,"2 Tbsp Chicken fat

14 oz. Polish Kielbasa

Half Head green cabbage

Carrots 234g

250g onion

4 cans Chicken broth

3 Tbsp Potato Starch",
152663,400590,Pad Woon Sen,1,Aromatics,"7 oz. chicken leg meat (about 3 drumsticks)

200 grams dried bean thread noodles

3 eggs

1 onion (yellow)

2 cloves garlic (finely chopped, approx. 2 teaspoons)",
275586,400590,Pad Woon Sen,2,Vegetables,"1 cup cabbage (shredded), about 1/4 head

½ cup carrots (shredded), about 1

3 stalks celery (thinly sliced)

1 cup bean sprouts",
311482,400590,Pad Woon Sen,3,Sauce,"3 Tbsp oyster sauce

1 Tbsp fish sauce

1 Tbsp Thai seasoning sauce/maggi sauce (or soy sauce)

1 Tbsp shaoxing wine

2 tsp sugar

3 Tbsp neutral oil (vegetable, canola, avocado)

4 Tbsp water

½ tsp dark soy sauce",
437504,400590,Pad Woon Sen,4,Garnish,"green onions

fried onions

sesame seeds

hot sauce",
236150,392274,"Shred Head, Butter & Bread",1,,"1/2 stick unsalted butter

1/2 cup pulverized, seasoned croutons (if using panko bread crumbs, pulverize in a spice grinder)

2 pinches dry mustard or 1 tsp dijon

Splash malt vinegar

1 teaspoon black pepper","Fill your largest pot 3/4 full with water and bring to a boil on high heat. 

Melt the butter and croutons in a skillet. Add the mustard and caraway seeds and stir over medium heat until the butter browns and smells nutty. Remove the skillet from the heat, but leave dressing in the pan."
146285,392274,"Shred Head, Butter & Bread",2,,"1/2 head cabbage, shredded

1 tablespoon kosher salt

1 tablespoon sugar",Add the salt and sugar to the boiling water and cook until dissolved. Place the cabbage in the boiling water and cook for 2 minutes exactly. Drain the cabbage in the bowl of the salad spinner or colander. Spin the cabbage to remove any excess water. Add the cabbage to the butter-crumb dressing and toss to coat thoroughly.
274032,277456,Caboodles,1,,"1/2 head cabbage

1/2 onion

1/2 recipe Marinara or Meat Sauce

2 oz. grated parmesan cheese",
241802,278419,Loaded Cabbage Soup,1,,"3 slices bacon, finely chopped (about ½ cup)

1 pound gnocchi

1 medium yellow onion, chopped (about 1½ cups)

4 small stalks celery, finely chopped (about ¾ cup)

1/3 head chopped green cabbage

2 cloves garlic

½ teaspoon salt

½ teaspoon ground pepper

4 cups chicken broth

½ cup heavy cream

2 ounces cheddar cheese, shredded (about 1/2 cup) 

4 tablespoons chopped fresh chives",
326932,269782,Broccoli Soup,1,,"2 tablespoons unsalted butter

2 pounds broccoli , florets roughly chopped into 1-inch pieces, stems trimmed, peeled, and cut into 1/4-inch-thick slices

1 medium onion , roughly chopped (about 1 cup)

2 medium garlic cloves , minced or pressed through garlic press (about 2 teaspoons)

1 1/2 teaspoons dry mustard powder

Pinch cayenne pepper

Table salt

3–4 cups water

1/4 teaspoon baking soda

2 cups low-sodium chicken broth

2 ounces baby spinach (2 loosely packed cups)

3 ounces sharp cheddar cheese , shredded (3/4 cup)

1 1/2 ounces Parmesan cheese , grated fine (about 3/4 cup), plus extra for serving

Ground black pepper","Heat butter in large Dutch oven over medium-high heat. When foaming subsides, add broccoli, onion, garlic, dry mustard, cayenne, and 1 teaspoon salt. Cook, stirring frequently, until fragrant, about 6 minutes. Add 1 cup water and baking soda. Bring to simmer, cover, and cook until broccoli is very soft, about 20 minutes, stirring once during cooking.

Add broth and 2 cups water and increase heat to medium-high. When mixture begins to simmer, stir in spinach and cook until wilted, about 1 minute. Transfer half of soup to blender, add cheddar and Parmesan, and process until smooth, about 1 minute. Transfer soup to medium bowl and repeat with remaining soup. Return soup to Dutch oven, place over medium heat and bring to simmer. Adjust consistency of soup with up to 1 cup water. Season to taste with salt and pepper. 

Serve, passing extra Parmesan separately."
124337,446622,Bro'-'Fu,1,,"1 sheet pan Broiled Broccoli

1 pound fried tofu

Half onion, sliced to baton

½ red bell pepper, sliced to baton

2 tsp. garlic, minced or grated

2 tsp. ginger, grated

3 Tbsp. dark soy sauce

3 Tbsp. brown sugar

1 1/2 Tbsp. corn starch

1/2 c water",
277927,448522,Palak / Saag,1,,"350g kale


3T coconut oil

1 yellow onion

3T garlic

1T ginger

4 green cardamom pods

4 cloves

½ t black peppercorns

½ t cumin seeds

1 t ground curry powder

10 cashews

½ can green chilies

50g half & half


4 cherry tomatoes

3T butter

1t sugar

Salt

Msg",
230641,326894,Toscana (Daddy) Soup,1,For the Greens,"2 T oil or rendered fat

16 oz. bulk Italian sausage

10-12 oz. de-stemmed & chopped kale

1 qt. Chicken broth or water + chicken base

1 T Lemon juice or 2 T dry white wine

1 yellow onion, diced fine

4 cloves Garlic, minced or crushed / pasted. But honestly, you measure that shit with your heart

1 T Fennel seed

1 t Xanthan gum (optional)

1 T Chili flakes

1 t Oregano

1 12 oz. can Great Northern or White Navy beans, drained. Or 9 oz. homemade cooked beans

1 oz. minced fresh basil

4-6 oz. half & half or 2-3 oz. cream","Heat 1 T oil / fat in a soup pot to 300F over medium high heat, then add the italian sausage, breaking it into very small pieces with a flat-edged wooden spoon. Cook until some has taken some crisp, brown color and some has released from the pot (about ten minutes). Add the kale and stock / water to deglaze the fond. Add the lemon juice / wine. Cover with a heavy lid and bring to a simmer, then cook for at least 20 minutes but up to 35 depending on your preference."
309702,326894,Toscana (Daddy) Soup,2,For the Aromatics,,"Heat 1 T oil / fat in a skillet over medium heat, then add the onion. Sweat until you see it take a little color. Add the garlic and cook for another couple of minutes. Grind the fennel seeds to a powder. Make some room on the bottom of the skillet and toast the fennel seed powder for about a minute. Stir everything together, then deglaze with some water. Puree everything (plus xanthan gum for extra viscosity to taste) in a blender."
311132,326894,Toscana (Daddy) Soup,3,Finish the soup,,"Combine the blended ingredients with the kale and sausage, add the chili flakes and oregano, and continue to cook until the kale is your desired doneness (Amy likes less, the girls like more). Adding the liquid ingredients will have seriously cooled down the pot, so you can turn the heat up to high to get it back to a simmer, then down to medium / medium low. Season with chicken base / bouillon, or salt + MSG. Add the beans and basil, then turn off the heat. Add the half & half / cream and stir to combine thoroughly. Season to taste with additional lemon juice / white wine (I’m fairly restrained about it for fear of curdling the dairy as well as my personal taste)."
423224,197351,Ratatouille,1,,"1/2 red pepper, seeds and ribs removed

1/2 yellow pepper, seeds and ribs removed

1/2 orange pepper, seeds and ribs removed

2 tablespoons extra virgin olive oil

1 teaspoon minced garlic

1/2 cup finely diced yellow onion

3 tomatoes (about 12 ounces total weight), peeled, seeded, and finely diced, juices reserved

1 sprig thyme

1 sprig flat-leaf parsley

1/2 a bay leaf

Kosher salt","For piperade, heat oven to 450 degrees. Place pepper halves on a foil-lined sheet, cut side down. Roast until skin loosens, about 15 minutes. Remove from heat and let rest until cool enough to handle. Peel and chop finely.

Combine oil, garlic, and onion in medium skillet over low heat until very soft but not browned, about 8 minutes. Add tomatoes, their juices, thyme, parsley, and bay leaf. Simmer over low heat until very soft and very little liquid remains, about 10 minutes, do not brown; add peppers and simmer to soften them. Season to taste with salt, and discard herbs. Reserve tablespoon of mixture and spread remainder in bottom of an 8-inch skillet."
302422,197351,Ratatouille,2,,"1 zucchini (4 to 5 ounces) sliced in 1/16-inch rounds 

1 yellow squash (4 to 5 ounces) sliced into 1/16-inch rounds 

4 Roma tomatoes, sliced into 1/16-inch rounds 

1/2 teaspoon minced garlic 

2 teaspoons olive oil 

1/8teaspoon thyme leaves 

Kosher salt and freshly ground black pepper","For vegetables, heat oven to 275 degrees. Down center of pan, arrange a strip of 8 alternating slices of vegetables over piperade, overlapping so that 1/4 inch of each slice is exposed. Around the center strip, overlap vegetables in a close spiral that lets slices mound slightly toward center. Repeat until pan is filled; all vegetables may not be needed.

Mix garlic, oil, and thyme leaves in bowl and season with salt and pepper to taste. Sprinkle over vegetables. Cover pan with foil and crimp edges to seal well. Bake until vegetables are tender when tested with a paring knife, about 2 hours. Uncover and bake for 30 minutes more. (Lightly cover with foil if it starts to brown.) If there is excess liquid in pan, place over medium heat on stove until reduced. (At this point it may be cooled, covered and refrigerated for up to 2 days. Serve cold or reheat in 350-degree oven until warm.)"
148952,197351,Ratatouille,3,,"1 tablespoon extra virgin olive oi 

1 teaspoon balsamic vinegar 

Assorted fresh herbs (thyme flowers, chervil, thyme) 

Kosher salt and freshly ground black pepper.","For vinaigrette, combine reserved piperade, oil, vinegar, herbs, and salt and pepper to taste in a bowl. 

To serve, heat broiler and place byaldi underneath until lightly browned. Slice in quarters and very carefully lift onto plate with offset spatula. Turn spatula 90 degrees, guiding byaldi into fan shape. Drizzle vinaigrette around plate. Serve hot."
256097,134484,Mapo Tofu,1,,"2 tablespoons Sichuan peppercorns, divided (see notes)

1/4 cup vegetable oil

1 teaspoon cornstarch

2 teaspoons cold water

1 1/2 pounds medium to firm silken tofu, cut into 1/2-inch cubes

1/4 pound ground beef

3 garlic cloves grated on a microplane grater

1 tablespoon fresh ginger grated on a microplane grater

2 tablespoons fermented chili bean paste (see notes)

2 tablespoons Xiaoxing wine

1 tablespoon dark soy sauce

1/4 cup low sodium chicken stock

1/4 cup roasted chili oil (see notes)

1/4 cup finely sliced scallion greens","Heat half of Sichuan peppercorns in a large wok over high heat until lightly smoking. Transfer to a mortar and pestle. Pound until finely ground and set aside.

Add remaining Sichuan peppercorns and vegetable oil to wok. Heat over medium high heat until lightly sizzling, about 1 1/2 minutes. Pick up peppercorns with a wire mesh skimmer and discard, leaving oil in pan.

Combine corn starch and cold water in a small bowl and mix with a fork until homogenous. Bring a medium saucepan of water to a boil over high heat and add tofu. Cook for 1 minute. Drain in a colander, being careful not to break up the tofu.

Heat oil in wok over high heat until smoking. Add beef and cook, stirring constantly for 1 minute. Add garlic and ginger and cook until fragrant, about 15 seconds. Add chili-bean paste, wine, soy sauce, and chicken stock and bring to a boil. Pour in corn starch mixture and cook for 30 seconds until thickened. Add tofu and carefully fold in, being careful not to break it up too much. Stir in chili oil and half of scallions and simmer for 30 seconds longer. Transfer immediately to a serving bowl and sprinkle with remaining scallions and toasted ground Sichuan pepper. Serve immediately with white rice."
343330,244285,Chicken Salad,1,,"½ cup mayonnaise

1–2 tsp. curry powder

½ lime, juiced

pinch of salt, more to taste

2 cups cooked chicken 

½ medium apple with peel, diced

1 celery rib, finely diced

2 Tbsp. red onion, finely diced

¼ cup raisins 

¼ cup dry-roasted cashews, roughly chopped",
253304,366974,Powdered Time,1,,"2 onions

2 heads of garlic","Heat an oven to 375F

Using a mandolin, very thinly slice the onion bottom to top, and garlic across each clove. Spread each onto a different sheet pan with a silicone mat in a single layer. 

bake until very dark brown. Black is okay, I guess"
152747,238502,Memphis Dust,1,,"¾ cup firmly packed dark brown sugar

¾ cup white sugar

½ cup American paprika

¼ cup garlic powder

2 tablespoons ground black pepper

2 tablespoons ground ginger powder

2 tablespoons onion powder

2 teaspoons rosemary powder",
225553,279688,Dorito Dust,1,,"4 t buttermilk powder

10 t orange cheddar powder

4 t sharp white cheddar powder

8 t parmesan powder

1 t tomato powder

1 T garlic powder

4 t onion powder

2 T MSG

8 t salt

½ t sugar

¼ t cayenne

¼ citric acid

¼ distilled white vinegar powder 

1 t green bell pepper powder

1 t red bell pepper powder",
178676,190824,Tomato Supercharger,1,,"1 part Cream of tartar

1 part Sugar

1 part Black pepper

1 part Salt",
278295,228876,Umami Salt,1,,"60g kosher salt

3g MSG

1g inosinate + guanylate (a.k.a. I+G)",
215118,280061,KFC Seasoning,1,,"1 tsp salt

1/2 tsp ground basil

1/2 tsp ground thyme

2 tsp celery salt

1 tsp ground oregano

1 tsp ground black pepper

3 tsp ground white pepper

2 tsp ground paprika

3 tsp garlic salt

1 tsp dried mustard

1 tsp ground ginger",
164486,378131,Pan-Style Pizza Dough,1,,"400g bread flour (14 ounces; about 2 1/2 cups), plus more for dusting

10g kosher salt (0.35 ounces; about 2 teaspoons), plus more for sprinkling

4g instant yeast* (0.15 ounces; about 1 teaspoon), such as SAF Instant Yeast

275g water (9.5 ounces; about 1 cup plus 3 tablespoons)

8g extra-virgin olive oil (0.25 ounces; about 2 teaspoons), plus more to coat pans and for drizzling","Combine flour, salt, yeast, water, and oil in a large bowl. Mix with hands or a wooden spoon until no dry flour remains. (The bowl should be at least 4 to 6 times the volume of the dough to account for rising.)

Cover bowl tightly with plastic wrap, making sure that the edges are well sealed, then let rest at cool room temperature (no warmer than 75°F) for at least 8 hours and up to 24. Dough should rise dramatically and fill bowl. In a hot kitchen, the dough may overproof near the end of that range."
178097,316916,Peel-style Pizza Dough,1,,"22 1/2 ounces bread flour, plus more for dusting (638g; about 4 1/2 cups)

0.5 ounce granulated sugar (15g; about 1 1/2 tablespoons)

0.35 ounce kosher salt (10g; about 1 tablespoon)

0.35 ounce instant yeast (10g; about 2 teaspoons)

15 ounces lukewarm water (415g; about 1 3/4 cups) (see notes)

3 tablespoons (45ml) extra-virgin olive oil","Combine flour, sugar, salt, and yeast in bowl of food processor. Pulse 3 to 4 times to incorporate. Add water and olive oil. Run food processor until mixture forms ball that rides around the bowl above the blade, about 15 seconds. Continue processing 15 seconds longer.

Transfer dough ball to lightly floured surface and knead once or twice by hand until smooth ball is formed. It should pass the windowpane test. Divide dough into three even portions and place each in a covered quart-sized deli container or in a zipper-lock freezer bag. Place in refrigerator and allow to rise at least 1 day, and up to 5 days."
278907,365541,Flaky Biscuits,1,,"2 and 1/2 cups (313g) all-purpose flour (spooned & leveled), plus more as needed for hands and work surface

2 Tablespoons aluminum free baking powder (yes, Tablespoons)

1 teaspoon salt

1/2 cup (1 stick; 113g) unsalted butter, cubed and very cold (see note)

1 cup + 2 Tablespoons (270ml) cold buttermilk, divided

2 teaspoons (14g) honey

optional honey butter topping: 2 Tablespoons melted butter mixed with 1 Tablespoon honey","Preheat oven to 425°F (218°C).

Make the biscuits: Place the flour, baking powder, and salt together in a large bowl or in a large food processor. Whisk or pulse until combined. Add the cubed butter and cut into the dry ingredients with a pastry cutter or by pulsing several times in the processor. Cut/pulse until coarse crumbs form. See photo above for a visual. If you used a food processor, pour the mixture into a large bowl.

Make a well in the center of the mixture. Pour 1 cup (240ml) buttermilk and drizzle honey on top. Fold everything together with a large spoon or spatula until it begins to come together. Do not overwork the dough. The dough will be shaggy and crumbly with some wet spots. See photo above for a visual.

Pour the dough and any dough crumbles onto a floured work surface and gently bring together with generously floured hands. The dough will become sticky as you bring it together. Have extra flour nearby and use it often to flour your hands and work surface in this step. Using floured hands, flatten into a 3/4 inch thick rectangle as best you can. Fold one side into the center, then the other side on top. Turn the dough horizontally. Gently flatten into a 3/4 inch thick rectangle again. Repeat the folding again. Turn the dough horizontally one more time. Gently flatten into a 3/4 inch thick rectangle. Repeat the folding one last time. Flatten into the final 3/4 inch thick rectangle.

Cut into 2.5 or 3-inch circles with a biscuit cutter. (Tip: Do not twist the biscuit cutter when pressing down into the dough because this seals off the edges of the biscuit which prevents them from fully rising.) Re-roll scraps until all the dough is used. You should have about 8-10 biscuits. Arrange in a 10-inch cast iron skillet (see note) or close together on a parchment paper-lined baking sheet. Make sure the biscuits are touching.

Brush the tops with remaining buttermilk. Bake for 18-20 minutes or until tops are golden brown.

Remove from the oven, and then brush warm tops with optional honey butter, and serve warm.

Cover leftovers tightly and store at room temperature or in the refrigerator for up to 5 days."
182636,323694,Challah (egg bread),1,For the bread:,"3 3/4 teaspoons active dry yeast (about 1 1/2 packages, 3/8 ounces or 11 grams)

1 tablespoon (13 grams) granulated sugar

1 3/4 cups lukewarm water

1/2 cup (118 ml) olive or vegetable oil, plus more for greasing the bowl

4 large eggs

1/2 cup (100 grams) granulated sugar

1 tablespoon (14 grams) table salt

8 to 8 1/2 cups (1000 to 1063 grams) all-purpose flour

1/2 cup raisins (about 70 grams) per challah, if using, plumped in hot water and drained","In a large bowl, dissolve yeast and 1 tablespoon (13 grams) sugar in water; set aside for 5 minutes until a bit foamy.

Whisk oil into yeast, then beat in 4 eggs, one at a time, with remaining 1/2 cup (100 grams) sugar and salt. Gradually add flour. When dough holds together, it is ready for kneading. (You can also use a mixer with a dough hook for both mixing and kneading, but be careful if using a standard size KitchenAid–it’s a bit much for it, though it can be done.)

Turn dough onto a floured surface and knead until smooth. Clean out bowl and grease it, then return dough to bowl. Cover with plastic wrap, and let rise in a warm place for 1 hour, until almost doubled in size. Dough may also rise in an oven that has been warmed to 150 degrees then turned off. Punch down dough, cover and let rise again in a warm place for another half-hour.

At this point, you can knead the raisins into the challah, if you’re using them, before forming the loaves. To make a 6-braid challah, either straight or circular*, take half the dough and form it into 6 balls. With your hands, roll each ball into a strand about 12 inches long and 1 1/2 inches wide. Place the 6 in a row, parallel to one another. Pinch the tops of the strands together. Move the outside right strand over 2 strands. Then take the second strand from the left and move it to the far right. Take the outside left strand and move it over 2. Move second strand from the right over to the far left. Start over with the outside right strand. Continue this until all strands are braided. For a straight loaf, tuck ends underneath. For a circular loaf, twist into a circle, pinching ends together. Make a second loaf the same way. Place braided loaves on a greased cookie sheet with at least 2 inches in between.

Beat remaining egg and brush it on loaves. Either freeze breads or let rise another hour.

If baking immediately, preheat oven to 375 degrees and brush loaves again. Sprinkle bread with seeds, if using. If freezing, remove from freezer 5 hours before baking.

Bake in middle of oven for 30 to 40 minutes, or until golden. (If you have an instant read thermometer, you can take it out when it hits an internal temperature of 190 degrees.) Cool loaves on a rack.

Any of the three risings can be done in the fridge for a few hours, for more deeply-developed flavor. When you’re ready to work with it again, bring it back to room temperature before moving onto the next step.

Round or straight braid? Raisins or skip them? Straight loaves of braided challah are eaten throughout the year–typically on the Sabbath–round challahs, often studded with raisins, are served for the New Year and the other High Holidays that follow. I made one of each, so you could see examples."
265103,323694,Challah (egg bread),2,To finish:,"1 large egg

Poppy or sesame seeds (optional)",
